source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,radial_velocity,radial_velocity_error,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,dist
513615867415543552,37.48481558643165,0.019172639814400875,62.158792286850534,0.02039338390518,0.528373344223743,0.02600120958215354,-1.4569671781336102,0.03376717483501088,-0.12738867338776116,0.04638083548041496,14.757354,,,"Gaia DR2 513615867415543552",37.4848290184404,62.1587928353289,0.0,0.0,0.0,0.0,6.296985383798964E-6
513615867415546624,37.49136818095838,0.017841460993712116,62.149207715441996,0.01987280759874338,0.2542352036987049,0.02374519063236303,-1.7654244446410905,0.02959384082617461,-0.0875562928363264,0.042488362576529715,14.360904,,,"Gaia DR2 513615867415546624",37.4913844515298,62.1492080924195,0.0,0.0,0.0,0.0,7.610475416054746E-6
513615833055811072,37.479177333335386,0.01779845867606038,62.14392369607744,0.018515295963643524,0.8821193367150224,0.024305741323195438,13.04314831416532,0.03019745652162264,-5.983215831121425,0.04136181048088658,14.770611,,,"Gaia DR2 513615833055811072",37.4790571454561,62.1439494570935,0.0,0.0,0.0,0.0,6.178473565817803E-5
513615833055812864,37.48217861752448,0.014057995818445844,62.13926094042176,0.015204312361686392,0.43089097366384044,0.019567756015772583,-1.1307659724066679,0.023720130143377448,0.3502974971174761,0.034058945116957576,14.007084,,,"Gaia DR2 513615833055812864",37.4821890355091,62.139259432196,0.0,0.0,0.0,0.0,5.096839551736488E-6
513615622598206336,37.48710732896666,0.020097804570070533,62.13886622478813,0.02186532668005997,0.6515448562671015,0.02772640770257421,2.0463871170177628,0.03461127250877055,-5.243442379655662,0.04975437540066356,12.616636,-28.59905758550664,0.34293909870864564,"Gaia DR2 513615622598206336",37.4870884754027,62.1388888007193,0.0,0.0,0.0,0.0,2.4234345714200315E-5
513615558173884544,37.51487403177791,0.03710427184917415,62.12751636309695,0.04292320362775905,0.45549920465631727,0.0500174725841068,-1.021514097343409,0.062326011183044316,-0.24453916636532158,0.08782626583868497,10.772052,,,"Gaia DR2 513615558173884544",37.5148834395548,62.1275174159736,0.4555,-1.022,-0.245,0.0,2.8836670705478916E-9
513979187292805760,37.577373103318514,0.021524056630858032,62.143882506865395,0.023938278380109517,0.2831815930067975,0.02866177106539575,0.6582979219423241,0.03605971683504746,0.4219576787477277,0.049828923766747496,14.850387,,,"Gaia DR2 513979187292805760",37.5773670373558,62.143880690103,0.0,0.0,0.0,0.0,3.366615296859615E-6
513603841507296768,37.5497537113908,0.01938674903358972,62.126332347191266,0.02208666607435611,0.8395199706709456,0.02687421200993776,-2.3616120653341435,0.03278258741260444,-3.6701251684269387,0.05167317072609169,14.832096,,,"Gaia DR2 513603841507296768",37.5497754601481,62.1263481491174,0.0,0.0,0.0,0.0,1.8790694619247783E-5
513979152933080192,37.57370841109331,0.013414830921094911,62.1221805417241,0.01579225693598632,0.8866480507595996,0.01941514643386144,3.590040820845916,0.02251388297082718,-2.840580500028687,0.034004263198021425,13.640244,,,"Gaia DR2 513979152933080192",37.5736753539192,62.1221927719973,0.0,0.0,0.0,0.0,1.9710460277111366E-5
513979084213598720,37.58814059465412,0.016206653410413434,62.127598836744,0.018452668896738373,0.34341880262057306,0.022571635160844625,-0.21552551739837658,0.027483325573628387,0.5893675008227268,0.03975551885852544,14.283874,,,"Gaia DR2 513979084213598720",37.5881425795717,62.1275962991895,0.0,0.0,0.0,0.0,2.7019043573952374E-6
