source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,radial_velocity,radial_velocity_error,phot_variable_flag
337152561914712320,40.5362924613689,0.03345966472208548,42.69635234798623,0.024109422761510346,1.9951811987187114,0.04347985514411119,0.6088021898637643,0.048164406009840684,-5.967805810838485,0.047073732607967315,13.258907,,,"NOT_AVAILABLE"
337151943439422208,40.44952822911924,0.05792139526398162,42.688456975272366,0.04047411147890225,3.16846605359628,0.06949691753614022,-6.59057647077074,0.08401328161433343,-5.361986030186525,0.08607236694196266,12.064829,-5.263572128685727,1.3517122117330098,"NOT_AVAILABLE"
337152566211055104,40.527492081958606,0.0577692516913867,42.70322176529918,0.04069529631265813,1.6143431788776204,0.07417340720546213,10.010780297977643,0.09097238577923598,-3.7505268037181057,0.08587520211599958,12.334158,-25.149324251484515,0.5147855131915962,"NOT_AVAILABLE"
337153146030266752,40.476811207198566,0.06492608699019438,42.673272628204764,0.06852594129739857,0.6519160974936214,0.09772301440895637,-3.3864735873058667,0.10956960942537017,-0.28385216685166137,0.12952664282334558,10.858964,-40.06296978345246,0.23447970776436947,"NOT_AVAILABLE"
337152424475762432,40.51147708675218,0.03731939040216456,42.66480572381354,0.025837971229386344,0.158349237508558,0.0464922875681238,0.9627814097519078,0.056099146493046106,0.80561630237344,0.05055683290971825,13.721717,,,"NOT_AVAILABLE"
337152566211055744,40.52848771804158,0.06893477452325547,42.69951290192691,0.07020803165488664,0.041214738495882405,0.12681797944328088,-1.1615050049190607,0.11098414325628185,-8.25233638699086,0.10884778766843485,14.035502,,,"NOT_AVAILABLE"
337153219046094464,40.46756653737952,0.04280679722001033,42.68016035308553,0.03055337007507337,0.2676520017285347,0.05252504816367478,-2.7138508423566297,0.06880142909381946,1.272940905770661,0.058630440095895776,14.315986,,,"NOT_AVAILABLE"
337152531851323776,40.52228131419427,0.03774551873519346,42.681973845486915,0.027686460931740518,0.7644866427247676,0.049578316152781424,1.8195550473427988,0.05556592675985853,-4.5244084847906265,0.053310160735579655,13.972701,,,"NOT_AVAILABLE"
337153184686353280,40.498175486747904,0.03448113428587648,42.683848131375015,0.0239633645521623,2.094009363115346,0.04354687134016992,0.8535758530460698,0.05167355965701022,-6.0261072064942125,0.046714426459374334,13.05089,,,"NOT_AVAILABLE"
337153150326620928,40.49104699777678,0.09873165732990455,42.66732054259661,0.06317605836934823,0.7285356180315615,0.12211417620478841,9.812237064764222,0.11462128552590707,-10.95154940942934,0.1212820138743608,14.748391,,,"NOT_AVAILABLE"
337153322125297408,40.524071294619475,0.08175317657705138,42.70739150081594,0.06509190573227153,2.0515384503060465,0.10947946498567876,1.2891101116992578,0.13105101699833432,-6.29526729086699,0.12959078557420034,8.324035,,,"NOT_AVAILABLE"
337151840360210688,40.410278194940865,0.03333428358254296,42.65120519231332,0.021300866324380077,1.957125109598076,0.04051530495955382,0.5838611856276861,0.0474459315937834,-5.450557394393163,0.04366345712377309,13.4090185,,,"NOT_AVAILABLE"
337151638498142464,40.460302164028725,0.057429454238449806,42.64173386208104,0.041185386603280756,0.12634682783835288,0.07067985615060396,0.8082890975126156,0.08289912604946022,0.24392277312042612,0.08636488261658563,12.104058,-22.701868442658192,0.5857959516506577,"NOT_AVAILABLE"
337152153894211712,40.534124483064616,0.044743124643685815,42.644990741794885,0.03254351453841933,2.0330136360544824,0.057260151490836665,1.1458340951340475,0.06481756959545251,-6.380607345140575,0.06444441482580136,12.983199,,,"NOT_AVAILABLE"
337151810296828288,40.43384599657164,0.035803981723362494,42.66529081905543,0.02581765616877794,0.47648073157294885,0.046505046613229115,-3.623693380076282,0.052382531789065365,-6.805293720857303,0.053842954983010526,13.5560665,,,"NOT_AVAILABLE"
337152119534475136,40.52573314896959,0.04338672932024849,42.640822075504246,0.042236887895099565,0.9227375476583841,0.0774295703290726,-0.1312626068548924,0.07336200105880655,-0.26474800493398987,0.07532758307418985,14.177278,,,"NOT_AVAILABLE"
337151604138401024,40.450136456046486,0.06259013587567241,42.65103847047865,0.04140951368607295,1.9693887862750785,0.07342585699771462,0.6342798347202412,0.08769159095399551,-5.829300886054024,0.08815154790729811,12.782405,2.8486514698935963,7.6026016457482015,"NOT_AVAILABLE"
337152394412380032,40.49518039581339,0.055401410733713574,42.65484199049536,0.03885107418639811,2.11104913311159,0.0685393948884047,0.07994108414452361,0.08025911008618675,-7.788359179023116,0.07848182147712075,11.411084,,,"NOT_AVAILABLE"
337163698766294784,40.389318966514445,0.03258027987449897,42.703264909066704,0.022395048861384062,1.9443597285402654,0.038010282118851914,0.2846027493436809,0.04958482935663879,-5.799523609196647,0.04419556596659583,13.75888,,,"NOT_AVAILABLE"
337163698766295936,40.39277128787749,0.04923192275929984,42.69996635573973,0.03159932345863825,1.963731275142137,0.051651279287391785,12.854683313281015,0.07931572292830448,-15.673526308595122,0.062227010090527585,12.942654,9.547993889840242,1.3293477026222946,"NOT_AVAILABLE"
